Number;Firstname;Surname;Birthday;Gender;Club;Nation;Type;Class;Starttime;Finish;RankValue;ExitStatus;Rank;RankPoints;Participated;ContestantId;Team;TotalPoints;TotalTime;TotalTimeFormatted;TotalDiffTimeFormatted;BonusSeconds;ClassId;Lerøy Cup Senior 2/Junior Cup 1 Sprint-Points;Lerøy Cup Senior 2/Junior Cup 1 Sprint-Time;Lerøy Cup Senior 2/Junior Cup 1 Sprint-TimeFormatted;Lerøy Cup Senior 2/Junior Cup 1 Sprint-DiffTimeFormatted;Lerøy Cup Senior 2/Junior Cup 1 Normal-Points;Lerøy Cup Senior 2/Junior Cup 1 Normal-Time;Lerøy Cup Senior 2/Junior Cup 1 Normal-TimeFormatted;Lerøy Cup Senior 2/Junior Cup 1 Normal-DiffTimeFormatted;Lerøy Cup Senior 3/Junior 2 Fellesstart-Points;Lerøy Cup Senior 3/Junior 2 Fellesstart-Time;Lerøy Cup Senior 3/Junior 2 Fellesstart-TimeFormatted;Lerøy Cup Senior 3/Junior 2 Fellesstart-DiffTimeFormatted;Lerøy Cup Senior 3/ Junior 2 Sprint-Points;Lerøy Cup Senior 3/ Junior 2 Sprint-Time;Lerøy Cup Senior 3/ Junior 2 Sprint-TimeFormatted;Lerøy Cup Senior 3/ Junior 2 Sprint-DiffTimeFormatted;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 Sprint-Points;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 Sprint-Time;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 Sprint-TimeFormatted;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 Sprint-DiffTimeFormatted;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 jaktstart-Points;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 jaktstart-Time;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 jaktstart-TimeFormatted;Lerøy Cup Senior 4/Junior 3 /Ungdom 2 jaktstart-DiffTimeFormatted;NM junior/ungdom Normal / Lerøy cup 5 senior Normal-Points;NM junior/ungdom Normal / Lerøy cup 5 senior Normal-Time;NM junior/ungdom Normal / Lerøy cup 5 senior Normal-TimeFormatted;NM junior/ungdom Normal / Lerøy cup 5 senior Normal-DiffTimeFormatted;Lerøy Cup Senior 5/Junior 4/Ungdom 3 Sprint-Points;Lerøy Cup Senior 5/Junior 4/Ungdom 3 Sprint-Time;Lerøy Cup Senior 5/Junior 4/Ungdom 3 Sprint-TimeFormatted;Lerøy Cup Senior 5/Junior 4/Ungdom 3 Sprint-DiffTimeFormatted;NM Junior - Fellestart - Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-Points;NM Junior - Fellestart - Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-Time;NM Junior - Fellestart - Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-TimeFormatted;NM Junior - Fellestart - Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-DiffTimeFormatted;NM Junior - Sprint- Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-Points;NM Junior - Sprint- Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-Time;NM Junior - Sprint- Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-TimeFormatted;NM Junior - Sprint- Lerøy Cup Senior 6 / Junior 5 / Ungdom 4-DiffTimeFormatted
127;Håvard Eriksson;Solfeldt;0;m;Skaun IL;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;5;2584169;Team Knyken;0.0;13567540;3:46:07.5;Mangler 3;0;623700;NOR;0.0;1914900;31:54.9;6:55.7;0.0;3456440;57:36.4;14:46.6;;;;;;;;;0.0;1661900;27:41.9;5:35.5;0.0;2935600;48:55.6;14:26.0;0.0;3598700;59:58.7;14:56.4;;;;;;;;;;;;
128;Torstein;WINGESTAD;0;m;Svene IL;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;8;694804;Sirdal Ski;0.0;19964200;5:32:44.2;1:13:09.390;0;623700;NOR;0.0;1920500;32:00.5;7:01.3;0.0;3456940;57:36.9;14:47.1;0.0;3032000;50:32.0;17:10.4;0.0;1597960;26:37.9;4:49.5;0.0;1651400;27:31.4;5:25.0;0.0;2692800;44:52.8;10:23.2;0.0;3651200;1:00:51.2;15:48.9;0.0;1961400;32:41.4;6:19.4;0.0;2742200;45:42.2;10:27.2;;;;
129;Vegard Øverli;Berg;0;m;Svene IL;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;8;3642888;Team Skiguard Buskerud;0.0;19257950;5:20:57.9;1:01:23.140;0;623700;NOR;0.0;1923600;32:03.6;7:04.4;0.0;3554690;59:14.6;16:24.8;0.0;2501290;41:41.2;8:19.6;0.0;1514870;25:14.8;3:26.4;0.0;1612800;26:52.8;4:46.4;0.0;2672000;44:32.0;10:02.4;0.0;3540900;59:00.9;13:58.6;0.0;1937800;32:17.8;5:55.8;0.0;2611600;43:31.6;8:16.6;0.0;1815200;30:15.2;6:04.3
130;Kristoffer Schulz;Solum;0;m;Simostranda IL;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;7;694572;Team Skiguard Buskerud;0.0;17275360;4:47:55.3;Mangler 1;0;623700;NOR;0.0;1944600;32:24.6;7:25.4;0.0;3216260;53:36.2;10:46.4;;;;;;;;;0.0;1623000;27:03.0;4:56.6;0.0;2807300;46:47.3;12:17.7;0.0;3113600;51:53.6;6:51.3;0.0;1901500;31:41.5;5:19.5;0.0;2669100;44:29.1;9:14.1;;;;
131;Tobias;Tangstad;0;m;Stiklestad IL;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;6;2710247;Steinkjer vgs;0.0;15770210;4:22:50.2;Mangler 2;0;623700;NOR;0.0;1957700;32:37.7;7:38.5;0.0;3549580;59:09.5;16:19.7;0.0;2571910;42:51.9;9:30.3;0.0;1588920;26:28.9;4:40.5;;;;;;;;;0.0;3987600;1:06:27.6;21:25.3;0.0;2114500;35:14.5;8:52.5;;;;;;;;
132;Erlend;Solvang;0;m;Hålandsdal IL;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;2;694773;Team Glalaks;0.0;5854950;1:37:34.9;Mangler 6;0;623700;NOR;0.0;2144700;35:44.7;10:45.5;0.0;3710250;1:01:50.2;19:00.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;Sander;Østensen;0;m;Østre Toten Skilag;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;8;2970277;Team Lygna skiskyting;0.0;17238150;4:47:18.1;27:43.340;0;623700;NOR;;;;;0.0;3340870;55:40.8;12:51.0;0.0;2543520;42:23.5;9:01.9;0.0;1476660;24:36.6;2:48.2;0.0;1477300;24:37.3;2:30.9;0.0;2499400;41:39.4;7:09.8;;;;;0.0;1850900;30:50.9;4:28.9;0.0;2361500;39:21.5;4:06.5;0.0;1688000;28:08.0;3:57.1
134;Torbjørn;Oppigard;0;m;Molde og Omegn IF;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;8;4496387;;0.0;19619260;5:26:59.2;1:07:24.450;0;623700;NOR;;;;;0.0;3358290;55:58.2;13:08.4;0.0;2445950;40:45.9;7:24.3;0.0;1498220;24:58.2;3:09.8;0.0;1655300;27:35.3;5:28.9;0.0;2656600;44:16.6;9:47.0;0.0;3318200;55:18.2;10:15.9;0.0;1961000;32:41.0;6:19.0;0.0;2725700;45:25.7;10:10.7;0.0;1772800;29:32.8;5:21.9
135;Kristoffer;Sverdrup;0;m;Dombås IL;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;1;4005733;Team Hugaas;0.0;3406380;56:46.3;Mangler 7;0;623700;NOR;;;;;0.0;3406380;56:46.3;13:56.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;Henning Husmo;Kristiansen;0;m;Ullensaker Skiklubb;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;3;694777;Sirdal Ski;0.0;7646430;2:07:26.4;Mangler 5;0;623700;NOR;;;;;0.0;3478280;57:58.2;15:08.4;0.0;2566380;42:46.3;9:24.7;0.0;1601770;26:41.7;4:53.3;;;;;;;;;;;;;;;;;;;;;;;;
137;Knut Lussand;Selheim;0;m;Voss Skiskytterlag;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;2;582439;Holmenkollen Biathlon;0.0;5221400;1:27:01.4;Mangler 6;0;623700;NOR;;;;;0.0;0;0:00.0;42:49.8;;;;;;;;;;;;;;;;;0.0;3268800;54:28.8;9:26.5;0.0;1952600;32:32.6;6:10.6;;;;;;;;
138;Ørjan;Moseng;0;m;Røros IL;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;0;414250;Team Maxim;0.0;0;0:00.0;Mangler 8;0;623700;NOR;;;;;0.0;0;0:00.0;42:49.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;Håvard;Haugen;0;m;Tonstad IL;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;2;4213333;Sirdal Ski;0.0;4116820;1:08:36.8;Mangler 6;0;623700;NOR;;;;;;;;;0.0;2480120;41:20.1;7:58.5;;;;;0.0;1636700;27:16.7;5:10.3;0.0;0;0:00.0;34:29.6;;;;;;;;;;;;;;;;
140;Martin Fagereng;Fjellavli;0;m;Skonseng UL;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;2;4255582;Team Polarsirkelen ski;0.0;4114160;1:08:34.1;Mangler 6;0;623700;NOR;;;;;;;;;0.0;2606370;43:26.3;10:04.7;0.0;1507790;25:07.7;3:19.3;;;;;;;;;;;;;;;;;;;;;;;;
141;Odd;Wæhre;0;m;Meråker Skiskytterklubb;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;8;4783109;;0.0;20205700;5:36:45.7;1:17:10.890;0;623700;NOR;;;;;;;;;0.0;2918740;48:38.7;15:17.1;0.0;1794960;29:54.9;8:06.5;0.0;1749800;29:09.8;7:03.4;0.0;3107600;51:47.6;17:18.0;0.0;3625800;1:00:25.8;15:23.5;0.0;2167800;36:07.8;9:45.8;0.0;2846500;47:26.5;12:11.5;0.0;1994500;33:14.5;9:03.6
142;Kristian Lindh;Aandahl;0;m;IL Bevern;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;2;4120379;;0.0;4759470;1:19:19.4;Mangler 6;0;623700;NOR;;;;;;;;;0.0;2962190;49:22.1;16:00.5;0.0;1797280;29:57.2;8:08.8;;;;;;;;;;;;;;;;;;;;;;;;
143;Kevin Brekken;Ramsfjell;0;m;Figgjo IL;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;4;2122673;;0.0;7383680;2:03:03.6;Mangler 4;0;623700;NOR;;;;;;;;;;;;;0.0;1493180;24:53.1;3:04.7;0.0;1513100;25:13.1;3:06.7;0.0;2550800;42:30.8;8:01.2;;;;;0.0;1826600;30:26.6;4:04.6;;;;;;;;
144;Zhang;Zhenhai;0;m;Team China/NTG Lillehammer;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;3;5780934;Team China;0.0;7155690;1:59:15.6;Mangler 5;0;623700;NOR;;;;;;;;;;;;;0.0;1637290;27:17.2;5:28.8;;;;;;;;;0.0;3431800;57:11.8;12:09.5;0.0;2086600;34:46.6;8:24.6;;;;;;;;
145;Yufan;Li;0;m;Team China;CN;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;1;5790389;Team China;0.0;1651180;27:31.1;Mangler 7;0;623700;CHN;;;;;;;;;;;;;0.0;1651180;27:31.1;5:42.7;;;;;;;;;;;;;;;;;;;;;;;;
146;Wuerying;Mulati;0;m;;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;1;5780937;Team China;0.0;1663000;27:43.0;Mangler 7;0;623700;NOR;;;;;;;;;;;;;0.0;1663000;27:43.0;5:54.6;;;;;;;;;;;;;;;;;;;;;;;;
147;Zhao;Lei;0;m;Team China/NTG Lillehammer;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;3;5780935;Team China;0.0;7222980;2:00:22.9;Mangler 5;0;623700;NOR;;;;;;;;;;;;;0.0;1692580;28:12.5;6:24.1;;;;;;;;;0.0;3603600;1:00:03.6;15:01.3;0.0;1926800;32:06.8;5:44.8;;;;;;;;
148;Emil Andre;Breivik;0;m;IL Bevern;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;3;694612;;0.0;6799900;1:53:19.9;Mangler 5;0;623700;NOR;;;;;;;;;;;;;;;;;0.0;1629000;27:09.0;5:02.6;;;;;0.0;3271500;54:31.5;9:29.2;0.0;1899400;31:39.4;5:17.4;;;;;;;;
149;Eivind Bogen;Brurok;0;m;Trondhjems Skiskyttere;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;1;414907;;0.0;2510400;41:50.4;Mangler 7;0;623700;NOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;2510400;41:50.4;6:35.4;;;;
150;Gard Edvard;Myhr;0;m;Tromsø Skiskytterlag;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;2;608885;;0.0;4489300;1:14:49.3;Mangler 6;0;623700;NOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;2632000;43:52.0;8:37.0;0.0;1857300;30:57.3;6:46.4
151;Marthin Berg;Kirkhus;0;m;Asker Skiklubb;NO;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;2;694663;Team OASSK;0.0;4783300;1:19:43.3;Mangler 6;0;623700;NOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;2882900;48:02.9;12:47.9;0.0;1900400;31:40.4;7:29.5
152;Sigurd;Leren;0;m;Vingelen IL;SE;Serie;M20-22;00:00:00.000;Mål;0.0;OK;60;0;1;3523397;Team Woodcon;0.0;1835900;30:35.9;Mangler 7;0;623700;SWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1835900;30:35.9;6:25.0
